abil_skill_summonvoidcrystal_name	Leerenkristall beschwören
boost_stat_level_up_var	Du hast <color=yellow>^tag2^</color> <color=#0cffe6>^tag1^</color> erhalten!
boostattack_after_move_desc	^number1^ Schaden für deinen nächsten Nahangriff.
calligrapherskill50_desc	^number1^ Schaden durch Kalligrafin-Fähigkeit
des_obj_confusetrap_dname	Verwirrfalle
description_escapeportal_shara	Hiermit kannst du in gewissen Seitenbereichen blitzreisen.
dialog_comparerelic_txt	<size=50>^$getstring:leg_origname$^ (angepasste Version)</size>\n\n<color=#ffc80a>^$getstring:leg_origtype$^ (legendär)</color>\n\n^$getstring:scaledleg_info$^\n
dialog_friendly_dirtbeak_shara_1	#cy#*KRÄCHZ*#ec# Wer bist du?!? Du hast ja Nerven, dich in mein Viertel zu wagen! Ich bin #cy#Baron Schmutzschnabel#ec#, das Oberhaupt von … also der STÄRKSTE aller #cy#Flatterjungz#ec#, und ich hoffe, dass du … also du …\n\n
dialog_friendly_dirtbeak_shara_1_response	Was hoffst du?
dialog_friendly_dirtbeak_shara_2	Ich glaube … Ich werde erst einmal freundlich zu dir sein. Denn ich bin der #cy#STÄRKSTE#ec#, wenn es ums Freundlichsein geht. Anders als all diese Trottel, die gerade faul in #cy#MEINER HÖHLE#ec# herumschnattern!\n\n
dialog_friendly_dirtbeak_shara_2_response	Haben diese Trottel dich etwa aus deiner Höhle geworfen?
dialog_friendly_dirtbeak_shara_3	Ich bin der wichtigste und gemeingefährlichste Vogel in ganz Tangledeep! Doch einer meiner Flatterjungz hat diesen #cc#komischen Stapel Papiere#ec# gefunden, die alle zusammenkleben! Die anderen Jungz können … ach egal! Papier ist doch #cy#doof#ec#.\n\nUnd wegen diesen blöden Papieren reden die Jungz jetzt schon von Dehm… Demuh… kräh… kra… tie? Auf einmal wollen sie #cy#WÄHLEN#ec#, wer das Sagen hat!\n\n
dialog_friendly_dirtbeak_shara_3_response	Dann sind das wirklich alle Trottel!
dialog_friendly_dirtbeak_shara_4	Genau wie du wurde auch ich aus meinem eigenen Zuhause geworfen, von Leuten, die dachten, dass sie besser sind als ich. Und ebenso wie in mir selbst sehe ich auch in dir den Geist eines Anführers, voller #cy#Stärke und Entschlossenheit#ec#. Ich werde dir helfen, das wiederzubekommen, was dir zusteht. #cy#Gemeinsam#ec# werden wir ihnen schon zeigen, wie weit sie mit ihren wichtigen Wörtern kommen!\n\n
dialog_friendly_dirtbeak_shara_5	Oh! Das ist das netteste, das jemals jemand zu mir gesagt hat … oder Moment – dass ich STARK bin, höre ich ja ständig! Und zusammen können wir so richtig stark sein! Machen wir #cy#diese Punks zusammen fertig#ec#, #cc#Blaumeise#ec#! Treffen wir uns in MEINER Höhle.\n\n
dialog_friendly_dirtbeak_shara_6	Das ist die richtige Einstellung, Barönchen! Bitte nenne mich doch #cc#Shara#ec#. Wir sind nun Freunde, und nichts kann uns aufhalten! Ich mache mich fertig und treffe dich gleich in DEINER Höhle.\n\n
dialog_friendly_dirtbeak_shara_7	He, also ich und die #cy#Flatterjungz#ec# passen gerade auf unser Revier auf, genau wie du gesagt hast und so.\n\n
dialog_learnskill_fromitem_button1_text	Fähigkeit lernen (500 JP)
dialog_learnskill_fromitem_button2_text	Nicht lernen
dialog_relic_compareoriginal	^$getstring:nonscaled_legtext$^
dialog_relic_found_main_txt	<size=50>^$getqstring:leg_item$^ <color=#ffc80a>GEFUNDEN</color>!</size>\n\n<color=#ffc80a>^$getqstring:leg_type$^ (legendär)</color>\n\n^$getqstring:leg_info$^\n\n^$getqstring:leg_desc$^\n
dialog_shara_boss1_postfight_1	H-hey, Moment mal! Wir haben … also wir haben die Stimmen gezählt und so, und es sieht so aus, als ob du ganz klar der Boss bist, Schmutzi!\n\n#cy#Zwitscher zwitscher zwitscher#ec# …\n\n
dialog_shara_boss1_postfight_2	#cr#KRÄCHZ!#ec# Wer lacht denn jetzt, ihr Pappmeisen? Ich bin wieder der #cc#Baron im Stall#ec#! #cc#Schmutzschnabel#ec# ist stärker als #cc#doofe Bücher#ec#, vergesst das bloß nicht!\n\n
dialog_shara_boss1_postfight_3	Nun hört mal zu, hier ist mein erster neuer Befehl als Baron: Ich werde mit größter Großzügigkeit unsere besten Essensvorräte anbrechen, und IHR werdet sie dann in ein Festmahl verwandeln! Vielleicht könnt ihr ja mit diesen ollen Büchern das Lagerfeuer vorheizen!\n\n
dialog_shara_boss1_postfight_4	So eine feine Mahlzeit hatte ich schon lange nicht mehr. Vielen Dank, Schmutzschnabel.\n\nMit einer #cy#strengen aber fairen Führung#ec# werden deine #cy#Jungz#ec# sicher nicht mehr vergessen, wem sie zu gehorchen haben. Sie brauchen Stärke – deine Stärke. Genau wie ich.\n\n
dialog_shara_boss1_postfight_5	Vor mir liegt eine weiter Weg, und es würde mir wirklich gut tun zu wissen, dass es einen Ort gibt, an dem ich mich ab und an erholen kann. Kannst du sicherstellen, dass dieses Gebiet gut bewacht und frei von Bedrohungen bleibt?\n\n
dialog_shara_boss1_postfight_6	Absolut, #cy#Blaumeise#ec#! Ich und meine #cy#Flatterjungz#ec# werden schon aufpassen, dass sich niemand mit dir anlegt.\n\nWas, wenn einer dieser Dödel aus #cc#Windbach#ec# vorbeikommt? Können wir uns dann seine Sachen krallen?\n
dialog_shara_boss1_postfight_7	Tu, was du tun musst, damit du und deine #cy#Jungz#ec# sicher seid und volle Bäuche habt. Die faulen Säcken von #cc#Windbach#ec# haben sich ihren Wohlstand nicht verdient. Wenn du dich an ihnen bereicherst, werden sie auch nicht ärmer.\n\nPass auf dich auf, #cy#Schmutzschnabel#ec#. Wir sehen uns bald.\n\n
dialog_shara_boss1_postfight_8	Wie du meinst, Boss! Aber, #cy#ähm#ec# … eine Sache wäre da noch. Nicht alle #cy#Banditen#ec# da draußen sind schlau genug, meiner äußerst generösen und starken Führung zu folgen. Jeder einzelne #cy#Flatterjunge#ec# befindet sich gerade in diesem Raum.\n\nWenn du also irgendwelche anderen Banditen vermöbeln musst, mach dir keine Sorgen. Die werden sich mir schon sehr bald anschließen!\n\n
