abil_skill_summonvoidcrystal_name	Conjurar Cristal del vacío
boost_stat_level_up_var	¡Ganas <color=yellow>^tag2^</color> de <color=#0cffe6>^tag1^!</color>
boostattack_after_move_desc	Tu próximo ataque cuerpo a cuerpo inflige ^number1^ de daño
calligrapherskill50_desc	^number1^ de daño de habilidad de Calígrafa
des_obj_confusetrap_dname	Trampa de confusión
description_escapeportal_shara	Úsalo para acceder al Viaje rápido desde ciertas áreas laterales.
dialog_comparerelic_txt	<size=50>^$getstring:leg_origname$^ (versión de nivel variable)</size>\n\n<color=#ffc80a>^$getstring:leg_origtype$^ (legendario)</color>\n\n^$getstring:scaledleg_info$^\n
dialog_friendly_dirtbeak_shara_1	#cy#*GRAAWK*#ec# ¡¿Y tú quién eres?! ¡Menudo descaro, entrando en mi territorio! Soy el #cy#Duque Picoguarro#ec#, el líder de... Vueno, el MÁS FUERTE de los #cy#Pollitos locos#ec#, y tú... más te vale que...\n\n
dialog_friendly_dirtbeak_shara_1_response	¿Y a mí más me vale qué?
dialog_friendly_dirtbeak_shara_2	Creo que… He decidido que voy a ser amable contigo, mi dama. Porque soy el #cy#MÁS FUERTE#ec# en eso de ser amable. ¡No como esos idiotas que no dejan de piar y trinar ahora mismo en #cy#MI GUARIDA#ec#!\n\n
dialog_friendly_dirtbeak_shara_2_response	¿Esos idiotas te echaron de tu propia casa?
dialog_friendly_dirtbeak_shara_3	¡Soy el pájaro más grande y malvado de todo Tangledeep! Pero uno de los Pollitos locos encontró este #cc#extraño montón de papeles#ec#, todos pegados entre sí. Los demás Pollitos podían… ¡Da igual! Los papeles son #cy#estúpidos#ec#.\n\nY esos estúpidos papeles hicieron que los Pollitos empezaran a graznar sobre... demo... dem *grawk* egrazia? ¡Dijeron que querían #cy#VOTAR#ec# quién debería estar al mando!\n\n
dialog_friendly_dirtbeak_shara_3_response	¡Entonces son todos unos idiotas!
dialog_friendly_dirtbeak_shara_4	Al igual que tú, fui expulsada de mi hogar por gente que pensaban que eran mejor que yo. Y al igual que en mí, puedo ver en ti el espíritu de un líder, lleno de #cy#fuerza y resolución#ec#. Te ayudaré a recuperar lo que mereces. ¡#cy#Juntos,#ec# les demostraremos lo inútiles que son sus palabras refinadas!\n\n
dialog_friendly_dirtbeak_shara_5	¡Gak! ¡Eso es lo más bonito que nadie me haya dicho... Espera, no, ejem, ¡todo el mundo me dice lo FUERTE que soy, todo el rato! ¡Y podemos ser fuertes juntos! ¡Vamos a darles #cy#una paliza a esos gamberros#ec# juntos, #cc#pájaro azul#ec#! Nos vemos en MI guarida.\n\n
