abil_skill_summonvoidcrystal_name	無の水晶召喚
boost_stat_level_up_var	<color=yellow>^tag2^</color> <color=#0cffe6>^tag1^</color>を獲得した！
boostattack_after_move_desc	次の近接攻撃の与ダメージが^number1^
calligrapherskill50_desc	書道家のスキルダメージ ^number1^
des_obj_confusetrap_dname	混乱の罠
description_escapeportal_shara	特定のサイドエリアから各地へ瞬時に移動できます。
dialog_comparerelic_txt	<size=50>^$getstring:leg_origname$^（ランク変動型）</size>\n\n<color=#ffc80a>伝説アイテム（^$getstring:leg_origtype$^）</color>\n\n^$getstring:scaledleg_info$^\n
dialog_friendly_dirtbeak_shara_1	#cy#*コケーッ*#ec#、おまえは何者だ？！ずかずかと我が縄張りへ入り込んでくるとは、厚かましいヤツめ！吾輩は#cy#バードボーイズ#ec#のリーダー...というか最強の鳥サマ、#cy#ダートビーク公爵#ec#であるぞ！そういうわけでだな...今すぐ...\n\n
dialog_friendly_dirtbeak_shara_1_response	今すぐ何なの？
dialog_friendly_dirtbeak_shara_2	思うに...吾輩は牙を収めるとしよう。なぜなら吾輩は優しさにおいても、#cy#最強の鳥サマ#ec#であるからだ。#cy#吾輩の巣#ec#でチュンチュン浮かれ騒いでいるバカどもとは、ラベルがちがうのだ！\n\n
dialog_friendly_dirtbeak_shara_2_response	そのバカどもに家を追い出されたの？
dialog_friendly_dirtbeak_shara_3	吾輩はタングルディープで最大最凶の鳥サマであるぞ！ところがバードボーイズの一羽がだな、すべてがくっついた、#cc#へんてこりんな紙の束#ec#を見つけてな。他のボーイズどもにはそいつが読め...というか、とにかくだな！こうした紙は#cy#バカげている#ec#のだ。\n\nそしてこのバカげた紙のせいで、ボーイズどもが...みん...しゅ..しゅぎ？とかいうモノについて、ピーチクパーチク騒ぎ始めたのだ。しまいにはリーダーを#cy#投票#ec#で決めたいと言ってな！\n\n
dialog_friendly_dirtbeak_shara_3_response	だったら、みんな愚か者ね！
