abil_skill_summonvoidcrystal_name	召唤虚空水晶
boost_stat_level_up_var	获得<color=yellow>^tag2^</color> <color=#0cffe6>^tag1^！</color>
boostattack_after_move_desc	你下一次的近战攻击将造成^number1^伤害
calligrapherskill50_desc	^number1^书法家技能伤害
des_obj_confusetrap_dname	混乱陷阱
description_escapeportal_shara	使用后即可在特定边缘区域进行快速旅行。
dialog_comparerelic_txt	<size=50>^$getstring:leg_origname$^ （自适应等级）</size>\n\n<color=#ffc80a>传奇物品 ^$getstring:leg_origtype$^</color>\n\n^$getstring:scaledleg_info$^\n
dialog_friendly_dirtbeak_shara_1	#cy#（嘎嘎）#ec#你是谁啊？！胆子真大，竟敢到我的地盘上来！我是#cy#污喙公爵#ec#，是#cy#鸟人兄弟#ec#的领袖……呃，我是他们之中最强大的鸟，你……你最好……\n\n
dialog_friendly_dirtbeak_shara_1_response	我最好如何？
dialog_friendly_dirtbeak_shara_2	我……我决定对你好，女士。因为我是#cy#最好#ec#的人。不像那些在我#窝里#ec#叽叽喳喳的白痴！
dialog_friendly_dirtbeak_shara_2_response	那些白痴把你从家里赶出来了？
dialog_friendly_dirtbeak_shara_3	我是纷乱深渊中最大只、最厉害的鸟！但鸟人兄弟中的一只家伙发现了这叠#cc#订装在一起的奇怪纸张#ec#。而其他的兄弟们会……那不重要！纸真#cy#讨厌#ec#。\n\n这些讨厌的纸开始让兄弟们叫嚷着要……鸟……鸟民当窝作主？他们居然说想要#cy#投票#ec#选择谁来当老大！\n\n
dialog_friendly_dirtbeak_shara_3_response	那他们就是一群傻瓜蛋！
dialog_friendly_dirtbeak_shara_4	我和你一样，也是被一群自以为是的人赶出了自己的家园。而且我能看得出，你身上有着和我一样的领袖气质，你是那么#cy#强大而坚毅#ec#。我会帮你夺回你应有的一切。只要我们#cy#携手合作#ec#，就肯定能让他们见识到那些漂亮的空话是多么软弱无力！\n\n
dialog_friendly_dirtbeak_shara_5	嘎！从未有人跟我说过这么动听的话……不对，其他鸟每天都会称赞我，说我有多强大！我们可以一起变得更强大！让我们一起#cy#教训那些废物#ec#吧，#cc#蓝鸟#ec#！我在我的巢穴等你。\n\n
dialog_friendly_dirtbeak_shara_6	这样就对了，公爵！还有，叫我#cc#萨拉#ec#就行啦。现在我们是朋友了，任何人都无法阻挡我们！我准备一下就去你的巢穴找你。\n\n
dialog_friendly_dirtbeak_shara_7	我和#cy#鸟人兄弟#ec#正在保护我们的地盘，正如你所要求的一样。\n\n
dialog_learnskill_fromitem_button1_text	学习技能（500职业点数）
dialog_learnskill_fromitem_button2_text	不学习
dialog_relic_compareoriginal	^$getstring:nonscaled_legtext$^
dialog_relic_found_main_txt	<size=50><color=#ffc80a>FOUND</color> ^$getqstring:leg_item$^！</size>\n\n<color=#ffc80a>Legendary ^$getqstring:leg_type$^</color>\n\n^$getqstring:leg_info$^\n\n^$getqstring:leg_desc$^\n
dialog_shara_boss1_postfight_1	喂喂喂，别激动！我们……呃，我清点了投票数，然后……似乎你是老大了，污喙公爵！\n\n#cy#啾啾啾#ec#……\n\n
dialog_shara_boss1_postfight_2	#cr#嘎！#ec#现在是谁赢了，臭小子们？我又再次当上#cc#栖木公爵#ec#了！#cc#污喙#ec#比那些#cc#愚蠢的书#ec#要强大得多，给我牢记这一点！\n\n
dialog_shara_boss1_postfight_3	听好了，这是我作为公爵颁布的第一条新法令：我会大发慈悲，开放我们偷来的高级食物补给，你们这些家伙负责用它们制作一顿大餐！或许你们可以把那些蠢书当柴火用！\n\n
dialog_shara_boss1_postfight_4	我好久没像这样饱餐一顿了。谢谢你，污喙。\n\n在#cy#强而有力的领导之下#ec#，#cy#鸟人兄弟#ec#肯定会为你鞠躬尽瘁。他们需要你的力量。我也需要。\n\n
dialog_shara_boss1_postfight_5	我的未来还有很长一段路要走，如果能有一处让我歇息的地方，我会轻松不少。你可以确保这地区的安全并消除所有威胁吗？\n\n
dialog_shara_boss1_postfight_6	小事一桩，#cy#蓝鸟#ec#！我和#cy#鸟人兄弟#ec#会确保你安全无虞。\n\n如果有#cc#溪石营地#ec#的蠢货们经过这里呢？我们可以抢他们的东西吗？\n
dialog_shara_boss1_postfight_7	只要能保证你们安全富足，你和你的#cy#兄弟#ec#该怎么办就怎么办。住在#cc#溪石#ec#的那些懒骨头简直就像活在蜜罐里一样，抢他们一点东西不会有什么影响的。\n\n万事小心，#cy#污喙#ec#。我很快就会回来的。\n\n
dialog_shara_boss1_postfight_8	你说了算！不过，#cy#嘎#ec#……还有一件事。外面的#cy#强盗们#ec#不见得个个都有脑子，知道要服从我这位包容、强大的领导。其实……这房间里的鸟就是#cy#鸟人兄弟#ec#全员了。\n\n所以如果你遇见了哪个不开眼的强盗，需要收拾他们的话，不用手下留情。我很快就会把他们收入麾下！\n\n
dialog_shara_boss1_prefight_1	大家快看啊！#cr#傻鸟公爵#ec#又回来了。\n\n我们不需要你来吃光我们的食物，还对我们颐指气使！我们是纷乱深渊#cy#最厉害的强盗#ec#！\n\n
dialog_shara_boss1_prefight_2	你最好别乱说话，因为这次我不再是一只孤鸟！我和我的朋友#cc#萨拉#ec#就来教教你们什么叫“#cy#尊重#ec#”。
dialog_shara_boss1_prefight_3	就因为别人和你们不同，你们就要把自己的同类赶走吗？他无法控制自己的#cy#胃口#ec#和#cy#体形#ec#。\n\n
dialog_shara_boss1_prefight_4	嘿，污喙，你真的需要一个#cr#小姑娘#ec#来为你撑腰吗？她就是一只田鼠，别逗了！\n\n快#cr#滚#ec#，不然就准备挨揍吧！\n\n
dialog_shara_boss1_prefight_5	#cr#嘎！#ec#看到了吧，萨拉？！他们真的太坏了！\n\n
dialog_shara_boss1_prefight_6	没错。他们让我想起了我的族人和他们的#cr#无知#ec#。\n\n那时的我还不懂得如何为自己而战……\n\n
dialog_shara_boss1_prefight_7	但今天，我会很乐意#cg#“教育一下”#ec#这些蠢材。进攻！\n\n
dialog_shara_boss2_devicedestroyed_1	那个设备释放出的能量#cr#削弱了#ec#鬼灵！趁机解决他们！\n\n
dialog_shara_boss2_devicedestroyed_10	他根本不懂我。我在纷乱深渊里度过的每一天都充满着各种#cr#艰难的抉择#ec#。至少他帮了我一个忙，让所有人清晰明白一个#cy#非常简单#ec#的选择……\n\n
dialog_shara_boss2_devicedestroyed_11	要么跟随#cc#大姐头#ec#，帮忙拯救世界，要么就落得跟#cr#他#ec#一样的下场。\n\n
dialog_shara_boss2_devicedestroyed_2	我打败了你，但那设备还在。你永远配不上原能的力量，无论你调整多少次也不会改变这个事实。\n\n
dialog_shara_boss2_devicedestroyed_3	你太自以为是了……那个设备……它会和我一起死去。你很强，但你太青涩，而且缺少目标。如果你想要找到#cy#目标#ec#的话，你需要真正理解纷乱深渊的本质，你需要靠自己寻找目标。\n\n但你不会这么做……你做不到。#cr#你缺乏做出艰难抉择的能力#ec#。你甚至想象不到纷乱深渊的怒火。#cg#他#ec#会打败你……#cg#他#ec#……\n\n
dialog_shara_boss2_devicedestroyed_4	你的力量都来自于那个设备，英格索尔。我原以为你是另外一位#cc#原能#ec#大师，但看看你自己。\n\n你不配使用原能力量，你从未有过这种资格。\n\n
dialog_shara_boss2_devicedestroyed_5	没有目标的力量……毫无意义。你今天是赢了，但远在你明白纷乱深渊的真理之前，就会#cy#彻底陷入绝境#ec#。\n\n暴力很简单，但#cr#你缺乏做出艰难抉择的能力#ec#。你甚至想象不到纷乱深渊的怒火。#cg#他#ec#会打败你……#cg#他#ec#……\n\n
dialog_shara_boss2_devicedestroyed_6	#cy#她？！#ec#谁？英格索尔你……噢#cr#你竟敢#ec#对我做出这种事情！\n\n
dialog_shara_boss2_devicedestroyed_7	宁可摧毁这份技术也不愿意看到它流传于世。真是太自私了。只是……\n\n
