abil_skill_banditdragonsoul_desc	断龙：刀之呼吸。对周围5x5方格内的敌人造成^number1^武器伤害（物理）。
abil_skill_banditdragonsoul_edesc	也会导致流血，每回合造成^number2^武器伤害，持续^number3^回合。
abil_skill_banditdragonsoul_extradesc	也会导致流血，每回合造成^number2^武器伤害，持续^number3^回合。
abil_skill_banditdragonsoul_name	龙魂：强盗
abil_skill_beastdragonsoul_desc	断龙：流星呼吸。对一群敌人造成^number1^武器伤害（火元素）。
abil_skill_beastdragonsoul_edesc	同时眩晕所有被击中的目标^number2^回合。
abil_skill_beastdragonsoul_extradesc	同时眩晕所有被击中的目标^number2^回合。
abil_skill_beastdragonsoul_name	龙魂：暴君
abil_skill_beedeath_name	蜜蜂攻击
abil_skill_beestinger_name	黄蜂蜇刺
abil_skill_chillonhit_weak_name	寒冰皮肤
abil_skill_flank_name	弗兰克跳跃
abil_skill_frogdragonsoul_desc	断龙：超级蛙跳。跳到目标敌人附近，对目标和相邻敌人造成^number1^武器伤害（物理）。
abil_skill_frogdragonsoul_edesc	同时给予你真菌再生，每回合恢复^number2^的最大生命值，持续^number3^回合。
abil_skill_frogdragonsoul_extradesc	同时给予你真菌再生，每回合恢复^number2^的最大生命值，持续^number3^回合。
abil_skill_frogdragonsoul_name	龙魂：青蛙
abil_skill_ghostaura_name	抑制光环
abil_skill_icebullrush_name	冰球
abil_skill_lowerdef_onattack_name	酸性攻击
abil_skill_moldmindcontrol2_name	心灵吸取
abil_skill_parry30_name	高级招架
abil_skill_passivecharm_pets_name	心灵控制
abil_skill_prismabsorber_name	棱镜吸收
abil_skill_prismattack_name	棱镜攻击
abil_skill_randomice_name	随机冰块
abil_skill_robotdragonsoul_desc	断龙：光之呼吸。对你面前大片区域发射^number1^道光束，对所有目标造成至少^number2^的武器伤害（雷元素）。
abil_skill_robotdragonsoul_edesc	怪物最多可被^number4^道光束击中，每道造成^number3^额外伤害。
abil_skill_robotdragonsoul_extradesc	怪物最多可被^number4^道光束击中，每道造成^number3^额外伤害。
abil_skill_robotdragonsoul_name	龙魂：机器人
abil_skill_slimedragonsoul_desc	断龙：果冻援军。召唤^number1^只友好的史莱姆与您并肩战斗^number2^回合。
abil_skill_slimedragonsoul_edesc	召唤出来的史莱姆不会被推动。
abil_skill_slimedragonsoul_extradesc	召唤出来的史莱姆不会被推动。
abil_skill_slimedragonsoul_name	龙魂：史莱姆
abil_skill_sludgedeath2_name	死亡瘟疫
abil_skill_snakefly_name	超肺活量
abil_skill_spectralcrab_name	召唤幽冥螃蟹
abil_skill_spiritdragonsoul_desc	断龙：气之呼吸。在范围内以3×3的格子造成^number1^武器伤害（毒元素）。同时召唤云雾，如果进入，会让敌人昏睡。
abil_skill_spiritdragonsoul_edesc	云雾会造成^number2^轮昏睡。
abil_skill_spiritdragonsoul_extradesc	云雾会造成^number2^轮昏睡。
abil_skill_spiritdragonsoul_name	龙魂：精灵
abil_skill_summon_metalslime_red_name	制造破界者
abil_skill_summon_metalslime_red_shortdesc	召唤一个可以摧毁结界的破界者。
abil_skill_whipmastery1_desc	对直线内的敌人造成^number1^武器伤害（物理）。两个格子内的敌人被束缚^number2^回合。
abil_skill_whipmastery1_extradesc	束缚的敌人每回合受到^number3^武器伤害。
abil_skill_whipmastery1_name	响尾蛇攻击
abil_skill_whipmastery2_desc	皮鞭攻击有^number1^几率使敌人麻痹^number2^回合。
abil_skill_whipmastery2_name	缠绕
abil_skill_whipmastery3_desc	每鞭打一个目标，获得^number1^暴击几率。
abil_skill_whipmastery3_name	灵巧手腕
abil_skill_whipmastery4_desc	对敌人造成^number1^武器伤害（物理），并在该位置产生冲击波。冲击波每回合都会扩展，持续^number2^回合。
abil_skill_whipmastery4_extradesc	冲击波在每回合结束时造成^number3^武器伤害（物理）。
abil_skill_whipmastery4_name	音爆
abil_skill_wranglersummon_name	召唤宠物
ask_where_dragons	其他的龙在哪里？
bandit_dragon_intro_1	这看起来一点也不像是一个#cy#“大鸟”#ec#。它一定是一条龙\n\n
bandit_dragon_intro_2	#cr#他的#ec#... 把你的 #cy#奶酪#ec#... 给#cy#我们#ec#，要不然你就#cr#祈祷吧#ec#!\n\n
bandit_dragon_intro_3	要求你多睡几百年会不会太过分？\n\n我比任何人都了解奶酪是多么好吃，但你也不能到处威胁和偷别人的东西。\n\n
bandit_dragon_intro_4	#cr#他的!#ec##cy#奶酪#ec#是我的！从我这#cy#偷的#ec#。\n\n
bandit_dragon_intro_response_1	盗贼和食物是怎么回事？！
bandit_dragon_intro_response_2	难道是？！
bandit_dragon_takeitems_1	无理的生物！我们现在就#cr#拿走你的食物#ec#！瓜哈哈…\n\n
bandit_dragon_takeitems_2	你现在被绑着，还想#cy#威胁#ec#我吗？我的食物现在就#cg#安全地放在背包里#ec#，并且…\n\n#cy#嘿，等等!#ec#\n\n
bandit_dragon_takeitems_part2_txt	那个混蛋盗贼#cy#偷走了我所有的食物#ec#！我必须拿回它们，不择手段！\n\n
bandit_dragon_takeitems_response	不择手段！
bandit_dungeon_unlocked_txt	这#cy#楼梯#ec#是从哪冒出来的？我很确定在和#cy#“大鸟”#ec#战斗时它不在那里...\n\n难道这是另一个#co#龙#ec#的巢穴？\n\n
banditdragon_postdefeat_txt	又一条#co#龙#ec#被打败了！这就是为什么#cr#永远#ec#不要打我#cy#奶酪#ec#的主意。有些底线是不能触碰的！\n\n
banditdungeon_hub_unlock_txt	那是最后一个了！也许中央大门现在开着。在继续前进之前，我最好确保自己已经做好万全准备…\n\n
battletext_nullify	增益效果被移除！
beast_dungeon_unlocked_txt	多么雄伟的藤蔓！我应该可以顺着往上爬。\n\n在另#co#龙#ec#的巢穴下真的有和这里一样的地方吗？\n\n只有一种方法可以验证。\n\n
