abil_skill_acidburstclose_name	Säurestoß
abil_skill_acidcloud_name	Säurewolke
abil_skill_acidevocation_2_extradesc	Schaden: ^number1^ der Geisteskraft pro Zug für ^number2^ Zg.
abil_skill_acidevocation_2_name	Giftbeschwörung
abil_skill_acidevocation_2_shortdesc	Bespritze deinen Gegner mit starkem Gift, das Schaden über Zeit zufügt (Magieform möglich).
abil_skill_acidevocation_extradesc	Schaden: ^number1^ der Geisteskraft als Gift. Reduziert physische Abwehr um ^number2^.
abil_skill_acidevocation_name	Säurebeschwörung
abil_skill_acidevocation_shortdesc	Bespritzt den Feind mit Säure, wodurch seine körperliche Abwehr geschwächt wird (Magieform möglich).
abil_skill_acidspit_name	Säurist
abil_skill_addburnattack_name	Feuriger Angriff
abil_skill_addinstantadaptation_name	SofortigeAnpassung
abil_skill_aetherbolt_name	Ätherschuss
abil_skill_aetherslash_2_desc	Entfesselt eine Salve von Schattenblitzen in einen weiten Bereich und fügt größeren Schaden zu, wenn du Seelenschatten oder Elementare beschworen hast. Verwendet eine Echoladung, um die Reichweite zu vergrößern.
abil_skill_aetherslash_2_extradesc	Schatten: ^number1^ der Geisteskraft als Schatten; ^number2^ pro beschworenem Elementar oder Seelenschatten.
abil_skill_aetherslash_2_name	Ätherflut
abil_skill_aetherslash_2_shortdesc	Entfessle in einem weiten Bereich eine Salve von Schattenblitzen.
abil_skill_aetherslash_desc	Entfesselt in einem weiten Bereich eine Salve von Schattenblitzen. Verwendet eine Echoladung, um die Reichweite zu vergrößern.
abil_skill_aetherslash_extradesc	Schatten: ^number1^ der spirituellen Energie als Schatten.
abil_skill_alchemyfire_name	Alchemiefeuer
abil_skill_alchemygas_name	Alchemiengas
abil_skill_alwaysriposte_desc	(Passiv) Du setzt immer zum Gegenangriff aus, wenn du Nahangriffe parierst, solange du eine Nahkampfwaffe verwendest.
abil_skill_alwaysriposte_extradesc	Gegenangriffe fügen ^number1^ Schaden zu.
abil_skill_alwaysriposte_name	Dauerkonter
abil_skill_armortraining_desc	(Passiv) Du vollziehst in schwerer Rüstung gekleidet einen Schmetterangriff auf dem Boden, nachdem du eine beliebige Bewegungsfähigkeit verwendet hast.
abil_skill_armortraining_extradesc	Schaden: ^number1^ der Waffenstärke als physisch an alle Gegner um Landefeld. (Krit möglich)
abil_skill_armortraining_name	Panzerdrill
abil_skill_arrowcatch_desc	(Passiv) Du erhältst eine pauschale ^number1^ Chance, einen Fernangriff abzufangen und zurückzugeben.
abil_skill_arrowcatch_name	Zwei-Finger-Fang
abil_skill_auraofgrowth_desc	(Passiv) Erhalte Hilfe vom Geist der Natur und beschwöre auf deinem Weg zufällig Ranken.
abil_skill_auraofgrowth_name	Aura des Wachstums
abil_skill_autobarrier_desc	(Passiv) Eine gewisse Zeit nach dem Kampf erzeugst du eine defensive Energiebarriere mit 100 % Blockchance. Die Barriere verschwindet nach erhaltenem Treffer.
abil_skill_autobarrier_extradesc	Barriere blockt keine gegnerischen Fähigkeiten. Der Effekt wird nach mindestens ^number1^ Zg. wiederhergestellt, wenn du kürzlich nicht im Kampf warst.
abil_skill_autobarrier_name	Autobarriere
abil_skill_autoheal_name	Autoheilung
abil_skill_axemastery1_kalzarius_desc	Schreite mit großer Kraft nach vorn, hacke dabei auf Gegner um dich herum ein und reduziere ihre Abwehr.
abil_skill_axemastery1_kalzarius_name	Spaltung
abil_skill_axemastery1_kalzarius_shortdesc	Bewege dich einen Schritt nach vorn und hacke dabei auf Gegner vor dir ein.
abil_skill_axemastery2_desc	^fp Angriffe mit der Axt fügen jedem benachbarten Gegner ^number1^ Schaden zu.
abil_skill_axemastery2_name	Erbitterter Kampf
abil_skill_axemastery3_desc	^fp Besiegst du einen Gegner mit einer Axt, so löst das sofort einen neuen Angriff aus (nur eine Anwendung pro Zug).
abil_skill_axemastery3_name	Übermacht
abil_skill_axemastery4_desc	Beginne, deine Axt in einem rasiermesserscharfen Wirbel von Klingen zu schwingen, und triff dabei am Ende jedes Zuges alle Gegner in der Nähe.
abil_skill_axemastery4_extradesc	Triff alle benachbarten Gegner in jedem Zug automatisch für ^number1^ Waffenstärke mit deiner Axt.
abil_skill_axemastery4_name	Wirbelwind
abil_skill_backstab_desc	(Passiv) Teile Bonusschaden aus, wenn du einen Gegner aus verschiedenen Richtungen aus angreifst.
abil_skill_backstab_name	Hinterhalt
abil_skill_balefulechoes_desc	Die Echos längst vergangener Kämpfe und Konflikte fügen Gruppen von Gegnern zufälligen Schaden zu. Verbraucht eine Echoladung, um ^number1^ Debuffs anstatt ^number2^ hinzuzufügen.
abil_skill_balefulechoes_extradesc	Kann Angriff/Abwehr senken, anwurzeln, betören oder paralysieren.
abil_skill_balefulechoes_name	Unheilvolle Echos
abil_skill_balefulechoes_shortdesc	Verursacht bei Gegnern zufällige Debuffs.
abil_skill_bananas_name	Bananen
abil_skill_banditshrapnelbomb_name	Granatbombe
abil_skill_banish_name	Verbannung
abil_skill_barrier2_name	Barrierenschild
abil_skill_beartraps_2_desc	Erzeugt ^number1^ Bärenfallen, die Gegner anwurzeln und bluten lassen, wenn sie drauftreten.
abil_skill_beartraps_2_name	Bärenfallen
abil_skill_beartraps_2_shortdesc	Erzeugt ^number1^ Bärenfallen, die Gegner anwurzeln und bluten lassen, wenn sie drauftreten.
abil_skill_beartraps_desc	Erzeugt ^number1^ Bärenfallen, die Gegner anwurzeln, wenn sie drauftreten.
abil_skill_beartraps_shortdesc	Erzeugt ^number1^ Bärenfallen, die Gegner anwurzeln, wenn sie drauftreten.
abil_skill_bedofflames_name	Flammenbeet
abil_skill_bedofthorns_desc	Fülle einen kleinen Bereich mit einem Beet aus Dornen – sanft zu dir, brutal zu Monstern!
abil_skill_bedofthorns_extradesc	Schaden: ^number1^ der Geisteskraft als Gift pro Zug.
abil_skill_bedofthorns_name	Dornenbeet
abil_skill_bedofthorns_shortdesc	Füllt Bereich mit schmerzhaften Dornen.
abil_skill_bladewall4_name	Klingenwand
abil_skill_bladewave_name	Schattenwelle
abil_skill_bleedbonus_desc	^number1^ Chance, mit normalen Angriffen Blutungsschaden zuzufügen.
abil_skill_blessedhammer_desc	Wirf einen Hammer aus brennender geistiger Energie, die sich von dir wegbewegt und dann zu dir zurückkehrt. Wenn Strahlende Aura aktiv ist, verbraucht jeder Hammer eine Wutladung für Bonusschaden.
abil_skill_blessedhammer_extradesc	Schaden: ^number1^ der Waffenstärke und ^number2^ der spirituellen Energie als Blitz pro Zug. Wenn eine Wutladung ausgegeben wird, beträgt der Schaden ^number3^.
abil_skill_blessedhammer_name	Geheiligter Hammer
abil_skill_blessedhammer_shortdesc	Beschwöre einen Hammer, der sich von dir wegbewegt und zurückkehrt, um Schaden zuzufügen.
abil_skill_blessedpool_name	Heilteich
abil_skill_blessedpool_shortdesc	Erzeugt einen kleinen Teich aus gesegnetem Wasser, das sich ausbreitet und dich mit jedem Zug, in dem du darin stehst, heilt.
abil_skill_bling_name	Klunker
abil_skill_blooddebts_desc	Leihe dir Gesundheit in Höhe von ^number1^ deiner max. TP, doch zahle sie mit ^number2^ Zinsen zurück.
abil_skill_blooddebts_extradesc	Effekt hält ^number3^ Zg. lang an.
abil_skill_blooddebts_name	Blutschuld
abil_skill_bloodlust_name	Blutdurst
abil_skill_bloodtracking_desc	(Passiv) Nachdem du einen Gegner triffst, ist deine Chance ^number1^, dass du sie erkennst. Sie bleiben für ^number2^ Zg. sichtbar und nehmen ^number3^ Schaden.
abil_skill_bloodtracking_name	Blutige Erkennung
abil_skill_boostmorale_name	Moralboost
abil_skill_bowmastery1_desc	Feuere einen Pfeil auf einen Gegner in der Nähe und springe dann auf ein nahe gelegenes Feld. Erst schießen, dann ab mit dir!
abil_skill_bowmastery1_name	Sprungschuss
abil_skill_bowmastery1_shortdesc	Feuere einen Pfeil auf einen Gegner in der Nähe und springe dann auf ein nahe gelegenes Feld.
abil_skill_bowmastery2_desc	^fp Mit einem Bogen fügst du isolierten Gegnern (keine anderen Gegner in ihrer Nähe) ^number1^ Schaden zu.
abil_skill_bowmastery2_name	Bulli
abil_skill_bowmastery3_desc	^fp Verwendet ein Gegner innerhalb deines Angriffsbereichs eine Fähigkeit, hast du eine ^number1^ Chance, diese Fähigkeit zu stören. Wird nur ausgelöst, wenn du einen Bogen trägst.
abil_skill_bowmastery3_name	Zwischenfall
abil_skill_bowmastery4_desc	Für eine kurze Zeit beruft jeder deiner Angriffe zusätzliche Pfeile, die im nächsten Zug landen.
abil_skill_bowmastery4_extradesc	Auf deinem Angriffsfeld und bis zu ^number1^ Zg. vor dir werden Pfeile beschworen, welche bei Aufprall ^number2^ Waffenstärke zufügen.
abil_skill_bowmastery4_name	Pfeilhagel
abil_skill_brigandbomber_desc	^fp Wenn du Schwarzer Umhang oder Schattenschritt verwendest, lässt du automatisch eine Feuerbombe halber Stärke fallen.
abil_skill_brigandbomber_name	Schleichbomber
abil_skill_brigandbonus2_desc	(Toggle) Wenn aktiviert, fügt dein gerade angewendeter Blutungseffekt anstatt physischem Schaden Giftschaden zu, außerdem erhältst du ^number1^ Giftschaden.
abil_skill_brigandbonus2_name	Envenom-Waffe
abil_skill_buildplanks_name	Plattenbauer
abil_skill_buildplanks_shortdesc	Erzeugt eine stabile Platte, auf der du wie auf normalem Boden über Wasser gehen kannst.
abil_skill_bullrush_name	Schubshilfe
abil_skill_bullseye_name	Bullauge
abil_skill_burnshot_name	Brennschuss
abil_skill_caltrops_shortdesc	Legt ein Feld aus Haken aus, das Gegner verlangsamt und ihnen Blutungen zufügt.
abil_skill_campfirecheese_name	Grillkäse
abil_skill_campfiredessert_name	Grilldessert
abil_skill_campfirefruit_name	Grillobst
abil_skill_campfiremeat_name	Grillfleisch
abil_skill_champfinder_name	Gefürchtet
abil_skill_champnightmare2_name	Trischatten
abil_skill_champnightmare_name	Schattengriff
abil_skill_champregenerate_name	Regeneration
abil_skill_charmsingle_shortdesc	Wirf ein Fläschchen mit einer Flüssigkeit, die das Ziel betört.
abil_skill_cheatdeath_desc	(Passiv) Erhalte eine 50/50-Chance, dass du schwerwiegenden Schaden mit 1 TP überlebst.
abil_skill_cheatdeath_extradesc	Entfernt außerdem alle negativen Statuseffekte.
abil_skill_cheatdeath_name	Todestrickser
abil_skill_chemistheal_name	Trankheilung
abil_skill_clawmastery1_extradesc	Schaden wird um ^number1^, alle Widerstände um ^number2^ erhöht. Solange diese Fähigkeit aktiv ist, kannst du nicht paralysiert werden. Selbst-Versiegelungseffekt kann nicht entfernt werden. Wechselst du zu einer Waffe, die keine Klaue ist, so wird der Effekt komplett aufgeoben.
abil_skill_clawmastery1_name	Rausch
abil_skill_clawmastery1_shortdesc	Du gerätst in wilde Rage, wodurch deine Kampfstärke und Abwehr erhöht werden, du allerdings keine Fähigkeiten verwenden kannst.
abil_skill_clawmastery2_desc	^fp Du kannst nicht paralysiert werden, während du eine Klaue verwendest, und dein Schaden kann nicht gesenkt werden.
abil_skill_clawmastery2_name	Eisengriff
abil_skill_clawmastery3_desc	^fp Mit jedem Schritt, den du mit einer Klaue in der Hand zurücklegst, hast du eine ^number1^ Chance, einen benachbarten Gegner zu schlitzen.
abil_skill_clawmastery3_name	Schnittschritt
abil_skill_clawmastery4_desc	Springe auf das Zielmonster und schlitze beim Aufprall das Monster sowie alles in seiner Nähe. Gewährt dir für kurze Zeit eine Super-Regeneration!
abil_skill_clawmastery4_extradesc	Schaden: ^number1^ der Waffenstärke. Regeneration heilt sofort und für ^number3^ Zg. ^number2^ des Schadens.
abil_skill_clawmastery4_name	Verheerung
abil_skill_clawmastery4_shortdesc	Springe auf das Zielmonster und schlitze beim Aufprall das Monster sowie alles in seiner Nähe.
abil_skill_cloakanddagger_2_desc	Bewege dich gekonnt an zwei Gegnern vorbei, tausche mit ihnen die Plätze und füge ihnen dabei Blutungen zu!
abil_skill_cloakanddagger_2_extradesc	Schaden: ^number1^ der Waffenstärke; fügt Milde Blutung hinzu (^number2^ Waffenstärke pro Zug). Fügt Gegnern in einer Rauchwolke ^number3^ Schaden mehr zu.
abil_skill_cloakanddagger_2_shortdesc	Tausche zweimal hintereinander mit einem Ziel den Platz und greife es an. Setzt zwei einzelne Ziele voraus.
abil_skill_cloakanddagger_desc	Bewege dich gekonnt an einem Gegner vorbei, tausche mit ihm den Platz und füge ihm dabei Blutungen zu!
abil_skill_cloakanddagger_extradesc	Schaden: ^number1^ der Waffenstärke als Element der Waffe; fügt Milde Blutung hinzu (^number2^ Waffenstärke pro Zug). Fügt Gegnern ^number3^ Schaden in einer Rauchwolke zu.
abil_skill_cloakanddagger_shortdesc	Tausche mit dem Ziel die Plätze und greife es dann an.
abil_skill_confuse_desc	Verwirre Gegner in der Nähe mit coolen Tricks. Verwirrte Monster wissen nicht, wohin sie gehen oder wen sie angreifen sollen!
abil_skill_confuse_name	Volte
abil_skill_confuse_shortdesc	Verwirre deine Gegner – sie könnten umherwandern oder sich gegenseitig angreifen!
abil_skill_constrict_name	Einengung
abil_skill_crabgrab_name	Krabbengrabscher
abil_skill_createillusions_name	Optische Täuschung
abil_skill_createwhirlwinds_name	Wirbelhilfe
abil_skill_creepingdeath_desc	Beschwört eine kleine aber effektive Pflanze, die schnell nach außen wächst und deine Gegner vernichtet.
abil_skill_creepingdeath_extradesc	Schaden: ^number1^ der Geisteskraft pro Zug als Gift.
abil_skill_creepingdeath_name	Beißendes Ende
abil_skill_creepingdeath_shortdesc	Beruft eine sich schnell verbreitende Pflanze.
abil_skill_crystalshift_2_desc	Bewegt deinen Runenkristall, fügt allen unterwegs getroffenen Gegnern Schaden zu und verstärkt die Abwehr deines Kristalls.
abil_skill_crystalshift_2_extradesc	Fügt ^number1^ der Waffenstärke als physisch zu. Kristallabwehr wird um ^number2^ erhöht.
abil_skill_crystalshift_2_name	Kristallverschiebung
abil_skill_crystalshift_2_shortdesc	Bewegt deinen Runenkristall und fügt allen unterwegs getroffenen Gegnern Schaden zu.
abil_skill_crystalshift_extradesc	Fügt ^number1^ der Waffenstärke als physisch zu.
abil_skill_daggermastery1_desc	Greift einen Gegner in der Nähe so schnell an, dass du dich sofort erholst und einen Extrazug nimmst.
abil_skill_daggermastery1_name	Blitzgerade
abil_skill_daggermastery1_shortdesc	Greife nahen Gegner an und mache sofort noch einen Zug.
abil_skill_daggermastery2_desc	^fp Reduziert Genauigkeit und Schadenstrafen, wenn du zwei Waffen gleichzeitig und davon mindestens einen Dolch hantierst (in beliebiger Hand).
abil_skill_daggermastery2_name	Doppelprofi
abil_skill_daggermastery3_desc	^fp Mit einem Dolch erhöht sich die Chance auf einen kritischen Treffer mit gewöhnlichen Angriffen und mit jedem Angriff auf dasselbe Ziel um ^number1^, höchstens ^number2^.
abil_skill_daggermastery3_name	Kritische Schwäche
abil_skill_daggermastery4_desc	Greife an, bewege dich dreimal in Blitzgeschwindigkeit und verdiene dir ^number2^ CT.
abil_skill_daggermastery4_extradesc	Schaden: ^number1^ der Waffenstärke pro Angriff. Angriff zieht Vorteil von Dolch-Stapelboni
abil_skill_daggermastery4_name	Sauseschlag
abil_skill_daggermastery4_shortdesc	Greife dreimal an und bewege dich mit jedem Schlag auf das Ziel zu.
abil_skill_darkbling_name	Dunkelklunker
abil_skill_deadlyfocus_desc	(Passiv) Reduziert Abklingzeit um 1 Zug, wenn du einen kritischen Treffer landest.
abil_skill_deadlyfocus_name	Fatales Ziel
abil_skill_delayedteleport_extradesc	Die Teleportation geschieht ^number1^ Zg. nach Verwenden der Fähigkeit.
abil_skill_delayedteleport_name	Verzögerte Teleportation
abil_skill_delayedteleport_shortdesc	Teleportiert dich nach einer kleinen Verzögerung auf das Zielfeld.
abil_skill_destroyerlaserwall_name	Phasmamauer
abil_skill_destroywall_name	Mauer-Einreißer
abil_skill_destroywall_shortdesc	Zerstöre ein Wandfeld.
abil_skill_detectweakness_desc	(Passiv) Du findest vermehrt die Vitalpunkte deiner Gegner. Triff die markierte Stelle für Bonusschaden!
abil_skill_detectweakness_extradesc	Markierte Monster nehmen ^number1^ mehr Angriffsschaden aus der ungeschützten Richtung.
abil_skill_detectweakness_name	Schwachwache
abil_skill_detonatevines_2_desc	Zerstört eine beschworene Ranke und lässt es Schutt und Dornen hageln! Schadet Gegnern neben der Explosion und fügt ihnen Schaden zu.
abil_skill_detonatevines_2_extradesc	Explosionsschaden: ^number1^ der Geisteskraft als Feuer. Giftschaden: ^number2^ der Geisteskraft als Gift.
abil_skill_detonatevines_2_name	Dornenexplosion
abil_skill_detonatevines_2_shortdesc	Detoniere die beschworene Ranke, um benachbarten Gegnern Schaden und Vergiftung zuzufügen.
abil_skill_detonatevines_desc	Zerstört eine beschworene Ranke und lässt es Schutt und Dornen hageln! Schadet Feinden in Explosionsnähe.
abil_skill_detonatevines_extradesc	Schaden: ^number1^ der Geisteskraft als Feuer.
abil_skill_detonatevines_shortdesc	Sprengt die gewählte Ranke für Bereichschaden.
abil_skill_divineprotection_desc	(Passiv) Erhalte eine ^number1^ Chance, einen gegnerischen kritischen Treffer zu ignorieren.
abil_skill_divineprotection_name	Geistiger Schutz
abil_skill_divineretribution_desc	Beschwört heilige Blitze, die Gegner angreifen und schwächen! Jede Wutladung wird für einen zusätzlichen Blitzschlag verwendet, der zufällig einschlägt.
