abil_skill_acidburstclose_name	Acid Burst
abil_skill_acidcloud_name	Acid Cloud
abil_skill_acidevocation_2_extradesc	Damage: ^number1^ of Spirit Power per turn for ^number2^ turns.
abil_skill_acidevocation_2_name	Poison Evocation
abil_skill_acidevocation_2_shortdesc	Splashes the enemy with potent poison that deals damage over time. (Spellshape possible!)
abil_skill_acidevocation_extradesc	Damage: ^number1^ of Spirit Power as Poison. Reduces physical defense by ^number2^.
abil_skill_acidevocation_name	Acid Evocation
abil_skill_acidevocation_shortdesc	Splashes the enemy with potent acid, weakening their physical defenses (Spellshape possible!)
abil_skill_acidspit_name	Acid Spit
abil_skill_addburnattack_name	Burning Attack
abil_skill_addinstantadaptation_name	InstantAdaptation
abil_skill_aetherbolt_name	Aether Bolt
abil_skill_aetherslash_2_desc	Fires a salvo of shadow bolts in a wide area, dealing more damage if you have summoned Soulshades or Elementals. Uses an Echo charge to extend its range.
abil_skill_aetherslash_2_extradesc	Damage: ^number1^ of Spirit Power as Shadow, ^number2^ per Elemental or Soulshade summoned.
abil_skill_aetherslash_2_name	Aether Barrage
abil_skill_aetherslash_2_shortdesc	Fire a salvo of shadow bolts in a wide area.
abil_skill_aetherslash_desc	Fires a salvo of shadow bolts in a wide area. Uses an Echo charge to extend its range.
abil_skill_aetherslash_extradesc	Damage: ^number1^ of Spirit Power as Shadow.
abil_skill_alchemyfire_name	Alchemy Fire
abil_skill_alchemygas_name	Alchemy Gas
abil_skill_alwaysriposte_desc	(Passive) Always counterattack when parrying melee attacks, as long as you are using a melee weapon.
abil_skill_alwaysriposte_extradesc	Counter attacks deal ^number1^ damage.
abil_skill_alwaysriposte_name	Unconscious Riposte
abil_skill_armortraining_desc	(Passive) While wearing heavy armor, you will do a ground smash attack after using any movement ability.
abil_skill_armortraining_extradesc	Damage: ^number1^ of Weapon Power as Physical to all enemies around landing square. (Can crit.)
abil_skill_armortraining_name	Armor Training
abil_skill_arrowcatch_desc	(Passive) You have a flat ^number1^ chance to catch a projectile attack and throw it back.
abil_skill_arrowcatch_name	Two-Finger Catch
abil_skill_auraofgrowth_desc	(Passive) Call upon nature's spirit around you, randomly summoning vines wherever you go.
abil_skill_auraofgrowth_name	Aura of Growth
abil_skill_autobarrier_desc	(Passive) After a time out of combat, you create a defensive energy barrier granting 100% block chance. The barrier dissipates when struck.
abil_skill_autobarrier_extradesc	Barrier does not block enemy skills. Effect reactivates after at least ^number1^ turns, if you have not recently been in combat.
abil_skill_autobarrier_name	Autobarrier
abil_skill_autoheal_name	Autoheal
abil_skill_axemastery1_kalzarius_desc	Step forward with great vigor, chopping enemies all around you and lowering their defense.
abil_skill_axemastery1_kalzarius_name	Cleave
abil_skill_axemastery1_kalzarius_shortdesc	Move forward one step while also chopping enemies in front of you.
abil_skill_axemastery2_desc	^fp Attacking with an Axe deals ^number1^ damage per enemy surrounding you.
abil_skill_axemastery2_name	Ferocity
abil_skill_axemastery3_desc	^fp Defeating an enemy with an Axe immediately triggers another attack. (Limit once per turn.)
abil_skill_axemastery3_name	Overpower
abil_skill_axemastery4_desc	Begin swinging your axe in a razor-sharp vortex of blades, hitting all nearby enemies at the end of each turn.
abil_skill_axemastery4_extradesc	Automatically strike all adjacent enemies each turn with your axe for ^number1^ of Weapon Power.
abil_skill_axemastery4_name	Whirlwind
abil_skill_backstab_desc	(Passive) Deal bonus damage when attacking an enemy from different directions.
abil_skill_backstab_name	Backstab
abil_skill_balefulechoes_desc	The echoes of battles and conflicts long-past inflict random ailments on a group of enemies! Consumes an Echo charge to add ^number1^ debuffs instead of ^number2^.
abil_skill_balefulechoes_extradesc	May inflict Attack Down, Defense Down, Rooted, Charmed, or Paralyzed.
abil_skill_balefulechoes_name	Baleful Echoes
abil_skill_balefulechoes_shortdesc	Inflicts random debuffs on enemies.
abil_skill_bananas_name	Bananas
abil_skill_banditshrapnelbomb_name	Shrapnel Bomb
abil_skill_banish_name	Banish
abil_skill_barrier2_name	Barrier Shield
abil_skill_beartraps_2_desc	Creates ^number1^ bear traps that root and bleed enemies who step on them.
abil_skill_beartraps_2_name	Bear Traps
abil_skill_beartraps_2_shortdesc	Creates ^number1^ bear traps that root and bleed enemies who step on them
abil_skill_beartraps_desc	Creates ^number1^ bear traps that root enemies who step on them.
abil_skill_beartraps_shortdesc	Creates ^number1^ bear traps that root enemies who step on them
abil_skill_bedofflames_name	Bed of Flames
abil_skill_bedofthorns_desc	Fills a small area with a bed of thorns - harmless to you, not to monsters!
abil_skill_bedofthorns_extradesc	Damage: ^number1^ of Spirit Power as Poison per turn.
abil_skill_bedofthorns_name	Bed of Thorns
abil_skill_bedofthorns_shortdesc	Fill area with deadly thorns.
abil_skill_bladewall4_name	Blade Wall
abil_skill_bladewave_name	Shadow Wave
abil_skill_bleedbonus_desc	^number1^ chance to inflict bleeds with normal attacks.
abil_skill_blessedhammer_desc	Throw a hammer of burning divine energy that travels away from you and then returns. If Radiant Aura is active, each hammer will consume a Wrath charge for extra damage.
abil_skill_blessedhammer_extradesc	Damage: ^number1^ of Weapon Power, ^number2^ of Spirit Power as Lightning per turn. If a Wrath charge is spent, deals ^number3^ damage.
abil_skill_blessedhammer_name	Blessed Hammer
abil_skill_blessedhammer_shortdesc	Summon hammer that moves forward and returns, dealing damage.
abil_skill_blessedpool_name	Blessed Pool
abil_skill_blessedpool_shortdesc	Create pool of blessed water that spreads, healing you each turn you stay in it.
abil_skill_bling_name	Bling
abil_skill_blooddebts_desc	"Borrow" health equal to ^number1^ of your max, but you'll have to pay it back with ^number2^ interest.
abil_skill_blooddebts_extradesc	Effect lasts ^number3^ turns.
abil_skill_blooddebts_name	Blood Debts
abil_skill_bloodlust_name	Bloodlust
abil_skill_bloodtracking_desc	(Passive) After hitting an enemy, ^number1^ chance to track them. They remain visible for ^number2^ turns, and take ^number3^ damage.
abil_skill_bloodtracking_name	Blood Tracking
abil_skill_boostmorale_name	Boost Morale
abil_skill_bowmastery1_desc	Fire an arrow at a random nearby enemy and then jump to a nearby tile. Stick and move!
abil_skill_bowmastery1_name	Jumping Shot
abil_skill_bowmastery1_shortdesc	Fire an arrow at a random nearby enemy and then jump to a nearby tile.
abil_skill_bowmastery2_desc	^fp When using a Bow, deal ^number1^ damage to isolated enemies (no other enemies around them).
abil_skill_bowmastery2_name	Predator
abil_skill_bowmastery3_desc	^fp If an enemy uses an ability within your attack range, you have a ^number1^ chance to interrupt that ability. Only triggers if you are wielding a Bow.
abil_skill_bowmastery3_name	Skirmisher
abil_skill_bowmastery4_desc	For a brief time, each of your basic attacks will also summon additional arrows that land next turn.
abil_skill_bowmastery4_extradesc	Arrows are summoned on your attack tile and up to ^number1^ tiles in front of you, dealing ^number2^ of Weapon Power on landing.
abil_skill_bowmastery4_name	Arrowstorm
abil_skill_brigandbomber_desc	^fp You automatically drop a half-strength Fire Bomb when using Cloak and Dagger or Shadowstep.
abil_skill_brigandbomber_name	Stealth Bomber
abil_skill_brigandbonus2_desc	(Toggle) When active, your newly-applied Bleed effects deal Poison damage instead of Physical, and you gain ^number1^ Poison damage.
abil_skill_brigandbonus2_name	Envenom Weapon
abil_skill_buildplanks_name	Build Planks
abil_skill_buildplanks_shortdesc	Creates a sturdy plank over water that can be walked on as if it were ground.
abil_skill_bullrush_name	Bull Rush
abil_skill_bullseye_name	Bullseye
abil_skill_burnshot_name	Burning Shot
abil_skill_caltrops_shortdesc	Lays a field of spikes that bleed and slow enemies.
abil_skill_campfirecheese_name	Campfire Cheese
abil_skill_campfiredessert_name	Campfire Dessert
abil_skill_campfirefruit_name	Campfire Fruit
abil_skill_campfiremeat_name	Campfire Meat
abil_skill_champfinder_name	Notorious
abil_skill_champnightmare2_name	Triple Shadowgrasp
abil_skill_champnightmare_name	Shadowgrasp
abil_skill_champregenerate_name	Regenerating
abil_skill_charmsingle_shortdesc	Toss a vial of liquid that charms the target.
abil_skill_cheatdeath_desc	(Passive) Get a 50/50 chance to live through fatal damage with 1 HP remaining.
abil_skill_cheatdeath_extradesc	Also removes all negative status effects.
abil_skill_cheatdeath_name	Cheat Death
abil_skill_chemistheal_name	Potion Heal
abil_skill_clawmastery1_extradesc	Damage increased by ^number1^, all resists increased by ^number2^. Cannot be Paralyzed for duration. Self-Sealing effect cannot be removed. Changing to a non-Claw will cancel the entire effect.
abil_skill_clawmastery1_name	Frenzy
abil_skill_clawmastery1_shortdesc	Enter a frenzied rage where your combat power and defense is heightened, but you are unable to use abilities.
abil_skill_clawmastery2_desc	^fp You cannot be Paralyzed while using a Claw, and your damage can never be lowered.
abil_skill_clawmastery2_name	Iron Grip
abil_skill_clawmastery3_desc	^fp With each step you take while wielding a Claw, you have a ^number1^ chance to slash an adjacent enemy.
abil_skill_clawmastery3_name	Razor Step
abil_skill_clawmastery4_desc	Leap at the target monster, viciously slashing it and everything around it upon landing. Temporarily gives you super regeneration!
abil_skill_clawmastery4_extradesc	Damage: ^number1^ of Weapon Power. Regeneration heals ^number2^ of damage taken instantly, for ^number3^ turns.
abil_skill_clawmastery4_name	Devastation
abil_skill_clawmastery4_shortdesc	Leap at the target monster, viciously slashing it and everything around it upon landing.
abil_skill_cloakanddagger_2_desc	Expertly move past two opponents, switching places and bleeding them in the process!
abil_skill_cloakanddagger_2_extradesc	Damage: ^number1^ of Weapon Power, adds Mild Bleed (^number2^ Weapon Power per turn). Deals ^number3^ more damage to enemies in a Smoke Cloud.
abil_skill_cloakanddagger_2_shortdesc	Switch places with and attack two targets in a row. Requires two unique targets.
abil_skill_cloakanddagger_desc	Expertly move past an opponent, switching places and bleeding them in the process!
abil_skill_cloakanddagger_extradesc	Damage: ^number1^ of Weapon Power as weapon's element, adds Mild Bleed (^number2^ Weapon Power per turn). Deals ^number3^ damage to enemies in a Smoke Cloud.
abil_skill_cloakanddagger_shortdesc	Switch places with and attack target.
abil_skill_confuse_desc	Confuse nearby enemies with flashy tricks. Confused monsters don't know where to move or who to hit!
abil_skill_confuse_name	Sleight of Hand
abil_skill_confuse_shortdesc	Confuse enemies - they may wander or attack each other!
abil_skill_constrict_name	Constrict
abil_skill_crabgrab_name	Crab Grab
abil_skill_createillusions_name	Create Illusions
abil_skill_createwhirlwinds_name	Call Tornados
abil_skill_creepingdeath_desc	Summon a small but deadly plant that grows outward rapidly and shreds your enemies!
abil_skill_creepingdeath_extradesc	Damage: ^number1^ of Spirit Power per turn as Poison.
abil_skill_creepingdeath_name	Creeping Death
abil_skill_creepingdeath_shortdesc	Summon creeping plant that grows outward.
abil_skill_crystalshift_2_desc	Moves your Runic Crystal, dealing damage to any enemies hit along the way and buffing your Crystal's defense.
abil_skill_crystalshift_2_extradesc	Deals ^number1^ of Weapon Power as Physical. Crystal defense increased by ^number2^.
abil_skill_crystalshift_2_name	Crystal Shift
abil_skill_crystalshift_2_shortdesc	Moves your Runic Crystal, dealing damage to any enemies hit along the way.
abil_skill_crystalshift_extradesc	Deals ^number1^ of Weapon Power as Physical.
abil_skill_daggermastery1_desc	Attacks a nearby enemy so quickly that you immediately recover and take an extra turn.
abil_skill_daggermastery1_name	Lightning Jab
abil_skill_daggermastery1_shortdesc	Attack nearby enemy and immediately take another turn.
abil_skill_daggermastery2_desc	^fp Reduces accuracy and damage penalties while dual-wielding Daggers (in either hand).
abil_skill_daggermastery2_name	Dual-Wield Expert
abil_skill_daggermastery3_desc	^fp While using a Dagger, increases chance to crit with regular attacks by ^number1^ with each attack on the same target, cap of ^number2^.
abil_skill_daggermastery3_name	Critical Weakness
abil_skill_daggermastery4_desc	Attack and move three times in the blink of an eye, gaining ^number2^ CT.
abil_skill_daggermastery4_extradesc	Damage: ^number1^ of Weapon Power per attack. Attacks benefit from Dagger stacking bonuses.
abil_skill_daggermastery4_name	Godspeed Strike
abil_skill_daggermastery4_shortdesc	Attack three times, moving to each target with each strike.
abil_skill_darkbling_name	Darkbling
abil_skill_deadlyfocus_desc	(Passive) Reduce cooldowns by 1 turn when you critically strike.
abil_skill_deadlyfocus_name	Deadly Aim
abil_skill_delayedteleport_extradesc	Teleport triggers ^number1^ turns after the skill is used.
abil_skill_delayedteleport_name	Delayed Teleport
abil_skill_delayedteleport_shortdesc	After a brief delay, teleports you to the target square.
abil_skill_destroyerlaserwall_name	Phasma Wall
abil_skill_destroywall_name	Destroy Wall
abil_skill_destroywall_shortdesc	Destroy a wall tile.
abil_skill_detectweakness_desc	(Passive) As you observe enemies, you will periodically find and mark their vital points. Strike the marked point for bonus damage!
abil_skill_detectweakness_extradesc	Marked monsters take ^number1^ more attack damage from the vulnerable direction.
abil_skill_detectweakness_name	Detect Weakness
abil_skill_detonatevines_2_desc	Blows up a summoned vine, causing a hail of thorns and debris! Damages and poisons enemies next to the explosion.
abil_skill_detonatevines_2_extradesc	Explosion Damage: ^number1^ of Spirit Power as Fire. Poison Damage: ^number2^ of Spirit Power as Poison.
abil_skill_detonatevines_2_name	Thornsplosion
abil_skill_detonatevines_2_shortdesc	Detonate target summoned vine to damage and poison adjacent enemies.
abil_skill_detonatevines_desc	Blows up a summoned vine, causing a hail of thorns and debris! Damages enemies next to the explosion.
abil_skill_detonatevines_extradesc	Damage: ^number1^ of Spirit Power as Fire.
abil_skill_detonatevines_shortdesc	Detonate target summoned vine for area damage.
abil_skill_divineprotection_desc	(Passive) Gain a ^number1^ chance to negate an enemy critical hit.
abil_skill_divineprotection_name	Divine Protection
abil_skill_divineretribution_desc	Summons holy lightning to strike and debuff enemies! Each Wrath charge is spent to give you an extra bolt that strikes at random.
abil_skill_divineretribution_extradesc	Damage: ^number1^ of Weapon Power, ^number2^ of Spirit Power as Lightning per bolt. Reduces target's defense by ^number3^.
abil_skill_divineretribution_shortdesc	Summons bolts of holy lightning to strike enemies!
abil_skill_dodgebuff_name	Dodge Boost
abil_skill_doubledown_2_desc	Spend ^number1^ of your max health; if you take at least this much damage within ^number2^ turns, attack with a fire blast that hits adjacent foes and regain the ^number1^ initially spent!
abil_skill_doubledown_2_extradesc	Damage: ^number3^ of Weapon Power, ^number3^ of Spirit Power as Fire.
abil_skill_doubledown_2_name	Double Down
abil_skill_doubledown_desc	Spend ^number1^ of your max health; if you take at least this much damage within ^number2^ turns, attack with a fire blast that hits all adjacent foes!
abil_skill_doubledown_extradesc	Damage: ^number3^ of Weapon Power, ^number4^ of Spirit Power as Fire.
