abil_skill_acidburstclose_name	Estallido ácido
abil_skill_acidcloud_name	Nube ácida
abil_skill_acidevocation_2_extradesc	Daño: ^number1^ de Poder espiritual por turno durante ^number2^ turnos.
abil_skill_acidevocation_2_name	Evocación de Veneno
abil_skill_acidevocation_2_shortdesc	Salpica al enemigo con un potente veneno que causa daño continuado. (¡Permite elegir la forma del hechizo!)
abil_skill_acidevocation_extradesc	Daño: ^number1^ de Poder espiritual como Veneno. Reduce la defensa física en ^number2^.
abil_skill_acidevocation_name	Evocación ácida
abil_skill_acidevocation_shortdesc	Salpica al enemigo con un potente ácido que debilita sus defensas físicas (¡permite elegir la forma del hechizo!)
abil_skill_acidspit_name	Saliva ácida
abil_skill_addburnattack_name	Ataque candente
abil_skill_addinstantadaptation_name	Adaptación instantánea
abil_skill_aetherbolt_name	Dardo etéreo
abil_skill_aetherslash_2_desc	Dispara una salva de dardos sombríos en una amplia zona e inflige más daño si has invocado Sombras de alma o Elementales. Usa una Carga de eco para aumentar su alcance.
abil_skill_aetherslash_2_extradesc	Daño: ^number1^ de Poder espiritual como Sombra, ^number2^ por Elemental o Sombra de alma invocados.
abil_skill_aetherslash_2_name	Barrera etérea
abil_skill_aetherslash_2_shortdesc	Disparas una salva de dardos sombríos en una zona amplia.
abil_skill_aetherslash_desc	Dispara una salva de dardos sombríos en una zona amplia. Usa una Carga de eco para aumentar su alcance.
abil_skill_aetherslash_extradesc	Daño: ^number1^ de Poder espiritual como Sombra.
abil_skill_alchemyfire_name	Fuego alquímico
abil_skill_alchemygas_name	Gas alquímico
abil_skill_alwaysriposte_desc	(Pasiva) Contraataca siempre al parar ataques cuerpo a cuerpo, siempre que estés usando un arma de combate cuerpo a cuerpo.
abil_skill_alwaysriposte_extradesc	Los contraataques infligen ^number1^ de daño.
abil_skill_alwaysriposte_name	Respuesta inconsciente
abil_skill_armortraining_desc	(Pasiva) Mientras lleves armadura pesada, efectuarás un ataque de golpe en el suelo tras usar cualquier habilidad de movimiento.
abil_skill_armortraining_extradesc	Daño: ^number1^ de Poder de armas como Físico a todos los enemigos alrededor de la casilla de impacto. (Golpe crítico posible)
abil_skill_armortraining_name	Entrenamiento con armadura
abil_skill_arrowcatch_desc	(Pasiva) Tienes una probabilidad fija del ^number1^ de atrapar un ataque a distancia y devolverlo.
abil_skill_arrowcatch_name	Captura con dos dedos
abil_skill_auraofgrowth_desc	(Pasiva) Usa el espíritu de la naturaleza que te rodea, invocando lianas al azar allá a donde vayas.
abil_skill_auraofgrowth_name	Aura del crecimiento
abil_skill_autobarrier_desc	(Pasiva) Tras un tiempo fuera de combate, creas una barrera de energía defensiva que te da una probabilidad de bloquear del 100 %. Se disipa cuando la golpean.
abil_skill_autobarrier_extradesc	La barrera no bloquea las habilidades enemigas. El efecto se reactiva después de al menos ^number1^ turnos si no has entrado recientemente en combate.
abil_skill_autobarrier_name	Autobarrera
abil_skill_autoheal_name	Autosanación
abil_skill_axemastery1_kalzarius_desc	Avanza con gran vigor mientras despedazas a los enemigos que te rodean y reduces su defensa.
abil_skill_axemastery1_kalzarius_name	Quebrar
abil_skill_axemastery1_kalzarius_shortdesc	Avanza un paso y despedaza a los enemigos frente a ti.
abil_skill_axemastery2_desc	^fp Atacar con un hacha inflige ^number1^ de daño por cada enemigo que te rodee.
abil_skill_axemastery2_name	Ferocidad
abil_skill_axemastery3_desc	^fp Derrotar a un enemigo con un hacha desencadena de inmediato otro ataque. (Límite de una vez por turno).
abil_skill_axemastery3_name	Subyugar
abil_skill_axemastery4_desc	Genera con tu hacha un vórtice de cortantes filos que golpea a todos los enemigos cercanos al final de cada turno.
