abil_skill_acidburstclose_name	酸の炸裂
abil_skill_acidcloud_name	酸のかすみ
abil_skill_acidevocation_2_extradesc	^number2^ターンの間、毎ターン、精神力の^number1^のダメージを与える。
abil_skill_acidevocation_2_name	毒の示現
abil_skill_acidevocation_2_shortdesc	強力な毒を敵に浴びせ、持続的なダメージを与える（スペルシェイプ可）。
abil_skill_acidevocation_extradesc	精神力の^number1^の毒ダメージを与え、さらに対象の物理防御を^number2^減少させる。
abil_skill_acidevocation_name	酸の示現
abil_skill_acidevocation_shortdesc	強力な酸を敵に浴びせ、物理防御を弱らせる（スペルシェイプ可）。
abil_skill_acidspit_name	酸のつば
abil_skill_addburnattack_name	火炎攻撃
abil_skill_addinstantadaptation_name	瞬時順応
abil_skill_aetherbolt_name	霊気の矢
abil_skill_aetherslash_2_desc	広範囲に影の矢を乱れ撃ち、ソウルシェイドか精霊を召喚している場合は追加ダメージを与える。「鬼火」を消費すると射程が延びる。
abil_skill_aetherslash_2_extradesc	精神力の^number1^の影ダメージと、召喚した精霊やソウルシェイドごとに^number2^のダメージを与える。
abil_skill_aetherslash_2_name	エーテルバラッジ
abil_skill_aetherslash_2_shortdesc	広範囲に影の矢を乱れ撃つ。
abil_skill_aetherslash_desc	広範囲に影の矢を乱れ撃つ。「鬼火」を消費すると射程が延びる。
abil_skill_aetherslash_extradesc	精神力の^number1^の影ダメージを与える。
abil_skill_alchemyfire_name	神秘の炎
abil_skill_alchemygas_name	神秘のガス
abil_skill_alwaysriposte_desc	（パッシブ）近接武器を装備中に限り、近接攻撃を受け流した際、常に反撃する。
abil_skill_alwaysriposte_extradesc	反撃によって^number1^のダメージを与える。
abil_skill_alwaysriposte_name	無心の反撃
abil_skill_armortraining_desc	（パッシブ）ヘビーアーマーを装備中、移動系スキルを使った直後に地面を殴打して攻撃する。
abil_skill_armortraining_extradesc	着地したマスの周囲の敵すべてに、攻撃力の^number1^の物理ダメージを与える（クリティカル可）。
abil_skill_armortraining_name	鎧の鍛錬
abil_skill_arrowcatch_desc	（パッシブ）^number1^の確率（固定）で遠隔攻撃をキャッチし、投げ返す。
abil_skill_arrowcatch_name	二本指つかみ
abil_skill_auraofgrowth_desc	（パッシブ）大地の精霊に働きかけ、移動中、ランダムにツタを召喚する。
abil_skill_auraofgrowth_name	増殖のオーラ
abil_skill_autobarrier_desc	（パッシブ）戦闘後しばらく経つと、ブロック率100%の守備的なバリアを身にまとう。攻撃を受けると、バリアは消滅する。
abil_skill_autobarrier_extradesc	敵のスキルはバリアでは防げない。直近で戦闘に従事していない場合、最低^number1^ターン後に効果が再発動する。
abil_skill_autobarrier_name	オートバリア
abil_skill_autoheal_name	オートヒール
abil_skill_axemastery1_kalzarius_desc	激しい気合と共に一歩踏み出し、周囲のすべての敵を切り刻んで守備力を下げる。
abil_skill_axemastery1_kalzarius_name	かぶと割り
abil_skill_axemastery1_kalzarius_shortdesc	一歩前へ出ると同時に、目の前のすべての敵を切り刻む。
abil_skill_axemastery2_desc	^fp斧で攻撃時、周囲の各敵に^number1^のダメージを与える。
abil_skill_axemastery2_name	残忍な斧
abil_skill_axemastery3_desc	^fp斧で敵を倒した瞬間、もう一撃が決まる（各ターン一度まで）。
abil_skill_axemastery3_name	強振
abil_skill_axemastery4_desc	斧を振り回して鋭利な刃の渦を巻き起こし、各ターンの最後に付近のすべての敵にダメージを与える。
abil_skill_axemastery4_extradesc	毎ターン、隣接するすべての敵を斧で自動的に攻撃し、攻撃力の^number1^のダメージを与える。
abil_skill_axemastery4_name	ワールウィンド
abil_skill_backstab_desc	（パッシブ）正面以外から敵を攻撃時、追加ダメージを与える。
abil_skill_backstab_name	バックスタブ
abil_skill_balefulechoes_desc	太古の戦火の残響によって、エリア内の敵にランダムな疾病を与える。「鬼火」を1個消費した場合、付与される状態異常が^number2^個から^number1^個に増える。
abil_skill_balefulechoes_extradesc	攻撃力低下、防御力低下、足止め、魅了、マヒのいずれかをランダムで与える。
abil_skill_balefulechoes_name	悪意の残響
abil_skill_balefulechoes_shortdesc	敵にランダムで状態異常を与える。
abil_skill_bananas_name	バナナ
abil_skill_banditshrapnelbomb_name	破砕ボム
abil_skill_banish_name	バニッシュ
abil_skill_barrier2_name	バリアシールド
abil_skill_beartraps_2_desc	^number1^個のトラばさみをしかけ、踏んだ敵を足止めして出血させる。
abil_skill_beartraps_2_name	トラばさみ
abil_skill_beartraps_2_shortdesc	^number1^個のトラばさみをしかけ、踏んだ敵を足止めして出血させる
abil_skill_beartraps_desc	踏んだ敵を足止めするトラばさみを^number1^個、しかける。
abil_skill_beartraps_shortdesc	踏んだ敵を足止めするトラばさみを^number1^個、しかける
abil_skill_bedofflames_name	炎の床
abil_skill_bedofthorns_desc	狭いエリアをトゲで埋めつくし、敵だけにダメージを与える。
abil_skill_bedofthorns_extradesc	毎ターン、精神力の^number1^の毒ダメージを与える。
abil_skill_bedofthorns_name	トゲの床
abil_skill_bedofthorns_shortdesc	危険なトゲでマスを埋める。
abil_skill_bladewall4_name	刃の壁
abil_skill_bladewave_name	影の波動
abil_skill_bleedbonus_desc	^number1^の確率で、通常攻撃時に出血を与える。
