abil_skill_acidburstclose_name	酸液爆发
abil_skill_acidcloud_name	酸雾云
abil_skill_acidevocation_2_extradesc	伤害：^number2^回合内每回合造成^number1^精神力的伤害。
abil_skill_acidevocation_2_name	猛毒召唤
abil_skill_acidevocation_2_shortdesc	向敌人泼洒猛毒，造成持续伤害。（可以塑法！）
abil_skill_acidevocation_extradesc	伤害：^number1^精神力的毒属性伤害。降低^number2^物理防御。
abil_skill_acidevocation_name	酸液召唤
abil_skill_acidevocation_shortdesc	向敌人泼洒强酸，降低敌人的物理防御。（可用法形强化！）
abil_skill_acidspit_name	酸液喷吐
abil_skill_addburnattack_name	火焰攻击
abil_skill_addinstantadaptation_name	急速适应
abil_skill_aetherbolt_name	以太弩箭
abil_skill_aetherslash_2_desc	进行一轮大范围的暗影矢齐射，如果你召唤了幽魂残影或者元素的话会造成额外伤害。消耗一个魂之回响来扩大范围。
abil_skill_aetherslash_2_extradesc	伤害：^number1^精神力的暗属性伤害，每有一个元素或灵魂碎片伤害提高^number2^。
abil_skill_aetherslash_2_name	以太弹幕
abil_skill_aetherslash_2_shortdesc	在大范围内发射暗影弩箭。
abil_skill_aetherslash_desc	在大范围内发射暗影弩箭。可以用灵魂点来提升它的范围。
abil_skill_aetherslash_extradesc	伤害：^number1^精神力的暗属性伤害。
abil_skill_alchemyfire_name	炼金火焰
abil_skill_alchemygas_name	炼金气体
abil_skill_alwaysriposte_desc	（被动）持有近战武器时，反击每一次成功招架的近战攻击。
abil_skill_alwaysriposte_extradesc	反击造成^number1^伤害。
abil_skill_alwaysriposte_name	防守反击
abil_skill_armortraining_desc	（被动）当你装备重甲时，你使用任何移动技能后都会造成一个范围伤害。
abil_skill_armortraining_extradesc	伤害：对落地位置周围的敌人造成^number1^武器威力的物理伤害。（可以暴击）
abil_skill_armortraining_name	重甲精通
abil_skill_arrowcatch_desc	（被动）你有^number1^几率将敌人远程攻击的弹药抓住并投掷回去。
abil_skill_arrowcatch_name	二指禅
abil_skill_auraofgrowth_desc	（被动）召唤自然的力量环绕着你，随机在你经过的地方召唤藤蔓。
abil_skill_auraofgrowth_name	自然领域
abil_skill_autobarrier_desc	（被动）脱离战斗一段时间后，你会制造一个100%格挡的能量防御屏障。屏障在受到攻击后消失。
abil_skill_autobarrier_extradesc	屏障不会格挡敌人的技能。如果你处于非战斗状态，效果将在^number1^回合后再次被激活。
abil_skill_autobarrier_name	自动屏障
abil_skill_autoheal_name	自动治疗
abil_skill_axemastery1_kalzarius_desc	用极大的力量向前一步，劈碎你附近的敌人并降低他们的防御。
abil_skill_axemastery1_kalzarius_name	裂山劈
abil_skill_axemastery1_kalzarius_shortdesc	移动一步并劈碎前面的敌人。
abil_skill_axemastery2_desc	^fp装备斧时，每有一个敌人在旁边，提高^number1^伤害。
abil_skill_axemastery2_name	残暴之斧
abil_skill_axemastery3_desc	^fp用斧击败一个敌人能立即发动下一次攻击。（一回合仅限一次。）
abil_skill_axemastery3_name	压制
abil_skill_axemastery4_desc	挥舞你的斧子形成一道锐利的斧刃旋风，每回合结束都对周围的所有敌人造成伤害。
abil_skill_axemastery4_extradesc	装备斧时，每回合自动对附近的敌人造成^number1^武器威力的伤害。
abil_skill_axemastery4_name	旋风斩
abil_skill_backstab_desc	（被动）从不同的方向攻击敌人时造成额外伤害。
abil_skill_backstab_name	背刺
abil_skill_balefulechoes_desc	战斗和冲突产生的魂之回响随机影响大群敌人！消耗一点魂之回响造成^number1^负面状态而不是^number2^。
abil_skill_balefulechoes_extradesc	可能会造成攻击下降，防御下降，绊足，魅惑或者困惑。
abil_skill_balefulechoes_name	恶毒回响
abil_skill_balefulechoes_shortdesc	对敌人造成随机负面效果。
abil_skill_bananas_name	香蕉
abil_skill_banditshrapnelbomb_name	裂片炸弹
abil_skill_banish_name	放逐
abil_skill_barrier2_name	壁垒盾
abil_skill_beartraps_2_desc	制造^number1^个捕熊陷阱，踩上的敌人将会绊足并流血。
abil_skill_beartraps_2_name	补熊陷阱
abil_skill_beartraps_2_shortdesc	制造^number1^个捕熊陷阱，踩上的敌人将会绊足并流血。
abil_skill_beartraps_desc	制造^number1^个捕熊陷阱，困住踩中的敌人。
abil_skill_beartraps_shortdesc	制造^number1^个捕熊陷阱，困住踩中的敌人。
abil_skill_bedofflames_name	火床
abil_skill_bedofthorns_desc	用荆棘覆盖一小片区域——你不会受到伤害，怪物会！
abil_skill_bedofthorns_extradesc	伤害：每回合造成^number1^精神值的毒属性伤害。
